carrier_code,destination,dep_hour,day_of_week,temp_c,wind_speed_kph,visibility_km,diversion_rate_carrier
DL,Other,16,3,20.6,183.6,16.1,0.00253293406
DL,Other,19,5,17.2,111.6,16.1,0.00253293406
DL,MCO,20,6,22.2,295.2,16.1,0.00253293406
OH,CLT,20,4,22.8,93.6,16.1,0.003093580819
NK,MSP,14,2,14.4,111.6,16.1,0.001815614282
WN,HOU,20,6,23.3,241.2,16.1,0.002384997386
DL,Other,10,4,13.3,75.6,16.1,0.00253293406
DL,BOS,17,6,22.8,277.2,16.1,0.00253293406
DL,JAX,15,1,9.4,75.6,16.0,0.00253293406
DL,SJU,16,4,9.4,316.8,16.1,0.00253293406
MQ,ORD,18,1,15.0,75.6,16.0,0.003162450066
WN,LGA,12,2,8.9,0.0,16.0,0.002384997386
DL,SDF,22,7,9.4,223.2,16.1,0.00253293406
UA,IAD,9,1,15.0,129.6,14.0,0.002462907126
DL,MCO,18,1,13.9,295.2,16.0,0.00253293406
DL,Other,9,2,7.2,111.6,16.0,0.00253293406
DL,Other,12,7,2.2,165.6,16.0,0.00253293406
F9,PHX,13,1,7.8,295.2,16.1,0.002440836251
DL,MCI,8,1,18.9,93.6,9.7,0.00253293406
F9,DFW,8,1,3.3,75.6,16.1,0.002440836251
NK,LAX,9,1,15.0,129.6,14.0,0.001815614282
DL,Other,13,4,13.3,334.8,16.1,0.00253293406
DL,GSP,22,6,18.9,241.2,16.1,0.00253293406
WN,SAT,8,7,3.9,147.6,16.1,0.002384997386
DL,PNS,8,4,3.9,350.0,16.1,0.00253293406
DL,CHA,20,5,17.8,147.6,16.1,0.00253293406
DL,Other,11,2,8.9,0.0,16.1,0.00253293406
DL,JAN,18,3,23.3,205.2,16.0,0.00253293406
UA,IAH,11,1,13.9,129.6,12.9,0.002462907126
DL,MEM,16,5,21.1,147.6,16.1,0.00253293406
DL,MIA,10,6,10.0,147.6,16.1,0.00253293406
DL,CLE,20,4,21.7,165.6,16.1,0.00253293406
DL,JAX,13,6,12.2,259.2,16.1,0.00253293406
DL,Other,15,3,11.7,165.6,16.0,0.00253293406
DL,CLT,17,6,24.4,334.8,16.1,0.00253293406
DL,Other,15,3,17.8,129.6,16.0,0.00253293406
YX,DCA,11,3,11.1,111.6,16.1,0.002220371912
DL,LAS,22,7,22.8,165.6,16.1,0.00253293406
DL,EWR,8,5,3.3,147.6,16.1,0.00253293406
DL,MDW,13,6,12.2,259.2,16.1,0.00253293406
WN,LAS,22,7,21.1,223.2,16.1,0.002384997386
DL,DCA,7,1,9.4,75.6,16.1,0.00253293406
DL,Other,9,7,17.8,165.6,12.0,0.00253293406
DL,Other,19,3,12.8,295.2,16.1,0.00253293406
UA,ORD,19,3,22.8,183.6,16.1,0.002462907126
DL,SRQ,14,1,10.0,277.2,16.1,0.00253293406
DL,TPA,9,5,14.4,75.6,16.0,0.00253293406
DL,SRQ,22,6,21.7,205.2,16.1,0.00253293406
UA,EWR,9,3,12.2,75.6,16.0,0.002462907126
DL,MCO,11,3,9.4,75.6,16.1,0.00253293406
DL,PNS,11,7,2.2,165.6,16.1,0.00253293406
DL,DCA,17,4,11.1,334.8,16.1,0.00253293406
DL,Other,15,3,16.1,183.6,16.0,0.00253293406
WN,MDW,14,7,3.9,111.6,16.1,0.002384997386
WN,CMH,9,3,11.7,129.6,6.0,0.002384997386
WN,HOU,20,6,22.2,334.8,16.1,0.002384997386
DL,HSV,22,3,23.3,183.6,16.1,0.00253293406
WN,LGA,20,1,20.6,147.6,16.1,0.002384997386
UA,ORD,19,7,13.3,93.6,16.1,0.002462907126
DL,EWR,18,7,10.0,54.0,16.0,0.00253293406
DL,GSP,10,4,11.1,111.6,16.1,0.00253293406
DL,MSY,22,5,22.2,241.2,16.1,0.00253293406
DL,Other,10,1,18.9,111.6,11.3,0.00253293406
AA,DFW,14,5,18.3,75.6,16.1,0.00288359019
DL,MDW,8,1,18.9,93.6,9.7,0.00253293406
DL,Other,16,1,21.0,129.6,11.3,0.00253293406
DL,Other,19,4,22.8,0.0,16.1,0.00253293406
DL,MIA,10,2,8.3,75.6,16.1,0.00253293406
OO,Other,16,6,21.1,111.6,16.1,0.003757959073
DL,Other,16,2,19.4,111.6,16.1,0.00253293406
WN,BWI,9,2,9.4,75.6,16.0,0.002384997386
DL,IAD,11,3,10.0,165.6,16.1,0.00253293406
AA,DFW,16,2,21.0,93.6,16.1,0.00288359019
DL,Other,9,5,5.0,93.6,16.0,0.00253293406
DL,LIT,16,3,22.2,259.2,16.1,0.00253293406
OH,CLT,9,7,10.0,0.0,16.0,0.003093580819
OH,DCA,16,4,20.6,205.2,14.5,0.003093580819
DL,LAS,7,7,17.8,165.6,16.1,0.00253293406
DL,LAX,14,5,18.3,75.6,16.1,0.00253293406
DL,RDU,8,4,12.2,54.0,16.1,0.00253293406
DL,MIA,20,7,25.0,241.2,16.1,0.00253293406
DL,SEA,15,2,16.1,111.6,16.0,0.00253293406
NK,DTW,16,7,8.9,165.6,9.7,0.001815614282
DL,PNS,9,7,10.0,0.0,16.0,0.00253293406
F9,LAX,18,2,22.2,93.6,16.0,0.002440836251
DL,BDL,21,3,23.3,165.6,16.1,0.00253293406
DL,DAB,12,7,11.7,165.6,16.0,0.00253293406
AA,MIA,11,1,5.6,241.2,16.1,0.00288359019
DL,Other,21,5,23.3,223.2,16.0,0.00253293406
WN,JAX,20,1,16.7,295.2,16.1,0.002384997386
DL,GSP,22,5,18.9,165.6,16.1,0.00253293406
F9,RDU,22,6,20.0,205.2,16.1,0.002440836251
DL,LAS,11,6,7.2,93.6,16.1,0.00253293406
DL,BNA,20,6,25.0,334.8,16.1,0.00253293406
DL,DAL,12,6,17.2,75.6,16.0,0.00253293406
UA,EWR,9,2,6.7,93.6,16.0,0.002462907126
DL,HOU,8,6,15.6,147.6,16.1,0.00253293406
DL,DAB,21,2,24.0,129.6,16.0,0.00253293406
DL,GSP,19,7,24.4,165.6,16.1,0.00253293406
DL,VPS,14,3,16.1,183.6,16.1,0.00253293406
DL,CMH,15,1,9.4,75.6,16.0,0.00253293406
DL,PBI,12,5,11.7,54.0,16.0,0.00253293406
DL,GSP,20,7,24.4,129.6,16.1,0.00253293406
DL,Other,16,3,22.2,259.2,16.1,0.00253293406
DL,Other,21,2,24.0,129.6,16.0,0.00253293406
AA,ORD,15,3,11.7,165.6,16.0,0.00288359019
DL,MCO,9,1,15.0,129.6,14.0,0.00253293406
DL,Other,19,7,24.4,165.6,16.1,0.00253293406
DL,MCI,12,2,6.1,183.6,16.0,0.00253293406
DL,PIT,22,1,17.8,129.6,16.1,0.00253293406
OH,DCA,16,7,21.1,183.6,16.1,0.003093580819
DL,Other,12,7,2.2,165.6,16.0,0.00253293406
DL,ORF,10,2,8.3,75.6,16.1,0.00253293406
WN,DCA,7,2,10.0,93.6,16.1,0.002384997386
DL,Other,20,7,13.3,111.6,16.1,0.00253293406
OO,CHA,12,7,16.1,129.6,11.0,0.003757959073
DL,CMH,13,7,3.3,183.6,16.1,0.00253293406
DL,ECP,10,1,8.3,165.6,14.5,0.00253293406
DL,SRQ,11,5,2.8,129.6,16.1,0.00253293406
DL,Other,9,2,6.1,165.6,16.0,0.00253293406
OO,Other,21,3,25.6,241.2,16.0,0.003757959073
DL,RDU,22,7,23.9,205.2,16.1,0.00253293406
WN,GSP,10,7,2.8,147.6,16.1,0.002384997386
DL,Other,22,1,16.7,129.6,16.1,0.00253293406
DL,Other,9,1,15.0,129.6,14.0,0.00253293406
OH,CLT,13,6,13.3,147.6,16.1,0.003093580819
DL,MCO,14,6,15.0,241.2,16.1,0.00253293406
DL,BHM,19,7,22.2,295.2,16.1,0.00253293406
DL,GSO,15,3,11.7,165.6,16.0,0.00253293406
F9,ORD,12,6,7.2,93.6,16.0,0.002440836251
DL,SRQ,15,2,17.8,129.6,16.0,0.00253293406
DL,MDW,15,1,7.8,147.6,9.0,0.00253293406
DL,JFK,9,2,6.1,165.6,16.0,0.00253293406
DL,SRQ,17,2,22.0,93.6,16.1,0.00253293406
AA,DFW,12,3,9.4,75.6,16.0,0.00288359019
DL,BWI,18,4,20.6,165.6,16.0,0.00253293406
DL,ORF,18,3,13.9,277.2,16.0,0.00253293406
DL,Other,13,2,12.2,111.6,16.1,0.00253293406
DL,PIT,17,5,15.0,93.6,16.1,0.00253293406
NK,IAH,15,5,11.1,75.6,16.0,0.001815614282
DL,GSO,20,6,23.3,241.2,16.1,0.00253293406
OH,CLT,13,6,16.7,147.6,16.1,0.003093580819
DL,FLL,7,4,12.8,93.6,14.5,0.00253293406
DL,RIC,13,5,6.1,183.6,16.1,0.00253293406
DL,VPS,16,4,18.9,111.6,16.1,0.00253293406
DL,AUS,22,6,20.0,205.2,16.1,0.00253293406
DL,PNS,16,7,21.7,316.8,16.1,0.00253293406
DL,RDU,22,4,11.7,259.2,16.1,0.00253293406
DL,Other,21,5,23.3,223.2,16.0,0.00253293406
DL,DEN,13,7,3.3,183.6,16.1,0.00253293406
WN,AUS,10,3,12.2,129.6,16.1,0.002384997386
DL,Other,9,5,5.0,93.6,16.0,0.00253293406
DL,ORF,13,7,17.8,54.0,11.3,0.00253293406
DL,BDL,21,5,26.7,111.6,16.0,0.00253293406
DL,ORD,22,3,21.7,277.2,16.1,0.00253293406
DL,MCO,22,6,20.0,205.2,16.1,0.00253293406
DL,Other,21,2,23.9,111.6,16.0,0.00253293406
DL,LGA,18,4,21.7,93.6,16.1,0.00253293406
DL,CMH,17,1,17.2,241.2,3.2,0.00253293406
MQ,MIA,19,7,24.4,165.6,16.1,0.003162450066
DL,JAN,13,1,15.0,183.6,11.3,0.00253293406
DL,EWR,19,3,12.8,295.2,16.1,0.00253293406
DL,DTW,16,3,20.6,183.6,16.1,0.00253293406
DL,Other,21,4,22.8,93.6,16.1,0.00253293406
DL,SFO,19,6,23.9,241.2,16.1,0.00253293406
NK,LAX,9,3,12.2,75.6,16.0,0.001815614282
DL,MIA,18,7,10.0,54.0,16.0,0.00253293406
DL,MSY,16,5,21.1,147.6,16.1,0.00253293406
DL,Other,21,2,24.0,129.6,16.0,0.00253293406
DL,SAV,12,3,8.9,93.6,16.0,0.00253293406
DL,ORD,22,4,20.6,147.6,16.1,0.00253293406
DL,CAE,22,6,22.2,165.6,16.1,0.00253293406
NK,DTW,6,5,15.6,54.0,12.0,0.001815614282
DL,TYS,17,2,21.1,147.6,16.1,0.00253293406
DL,PIT,13,4,14.4,93.6,16.1,0.00253293406
DL,DCA,7,4,17.8,223.2,16.1,0.00253293406
DL,PHX,19,7,13.3,93.6,16.1,0.00253293406
DL,BDL,21,4,10.0,350.0,16.0,0.00253293406
F9,IAH,15,6,16.1,223.2,16.0,0.002440836251
DL,Other,20,2,26.1,334.8,16.1,0.00253293406
DL,IAH,7,2,6.7,93.6,16.1,0.00253293406
DL,Other,8,4,17.8,241.2,16.1,0.00253293406
DL,SAT,8,3,12.2,93.6,16.1,0.00253293406
DL,DFW,19,2,25.0,277.2,16.1,0.00253293406
DL,Other,22,1,20.6,183.6,16.1,0.00253293406
NK,PHL,8,1,6.7,241.2,16.1,0.001815614282
DL,BNA,9,6,12.2,129.6,16.0,0.00253293406
DL,JAN,13,1,7.8,295.2,16.1,0.00253293406
DL,ECP,19,1,17.8,93.6,16.1,0.00253293406
DL,MIA,15,2,14.4,111.6,16.0,0.00253293406
DL,Other,9,1,15.0,129.6,14.0,0.00253293406
DL,SLC,14,2,14.4,111.6,16.1,0.00253293406
DL,DEN,19,7,9.4,183.6,9.7,0.00253293406
DL,SAV,22,7,21.1,223.2,16.1,0.00253293406
DL,DAB,12,3,8.9,93.6,16.0,0.00253293406
F9,ORD,6,5,5.6,111.6,16.0,0.002440836251
B6,JFK,10,2,8.3,75.6,16.1,0.004975591438
F9,DTW,13,2,12.2,111.6,16.1,0.002440836251
WN,TPA,19,3,22.8,183.6,16.1,0.002384997386
DL,MCO,12,4,10.0,129.6,16.0,0.00253293406
DL,Other,10,2,8.0,129.6,16.1,0.00253293406
DL,DTW,18,7,21.7,93.6,14.0,0.00253293406
DL,BDL,18,3,23.3,205.2,16.0,0.00253293406
DL,MIA,9,3,11.1,0.0,16.0,0.00253293406
DL,ORD,22,4,8.3,316.8,16.1,0.00253293406
DL,Other,9,7,17.2,111.6,16.0,0.00253293406
DL,Other,20,2,23.9,129.6,16.1,0.00253293406
F9,LGA,19,4,12.8,295.2,16.1,0.002440836251
DL,BHM,15,5,18.3,75.6,16.0,0.00253293406
DL,RIC,19,5,17.2,111.6,16.1,0.00253293406
NK,FLL,5,1,8.3,241.2,16.1,0.001815614282
DL,Other,9,1,8.9,147.6,12.0,0.00253293406
DL,STL,22,2,23.3,147.6,16.1,0.00253293406
DL,SFO,21,4,22.8,93.6,16.1,0.00253293406
WN,LAS,6,1,19.4,111.6,11.0,0.002384997386
DL,PHL,20,4,10.0,350.0,16.1,0.00253293406
WN,DEN,7,6,18.3,129.6,16.1,0.002384997386
WN,OMA,22,5,25.6,165.6,16.1,0.002384997386
DL,MCO,20,1,17.8,75.6,16.1,0.00253293406
DL,BHM,23,7,21.7,183.6,16.1,0.00253293406
DL,CLT,19,4,12.8,295.2,16.1,0.00253293406
DL,CHA,13,1,19.4,183.6,6.4,0.00253293406
WN,RSW,10,5,13.9,75.6,16.1,0.002384997386
DL,Other,19,1,16.7,129.6,16.1,0.00253293406
AA,DFW,16,6,22.2,223.2,16.1,0.00288359019
DL,BOS,16,1,13.3,165.6,16.1,0.00253293406
DL,Other,17,7,8.9,183.6,12.9,0.00253293406
F9,TPA,6,7,18.3,165.6,16.0,0.002440836251
DL,GSO,10,4,11.1,111.6,16.1,0.00253293406
DL,DCA,9,2,7.2,111.6,16.0,0.00253293406
DL,RDU,7,5,14.4,54.0,12.9,0.00253293406
DL,DAL,13,3,12.8,75.6,16.1,0.00253293406
AA,MIA,10,1,18.9,111.6,11.3,0.00288359019
DL,PBI,8,1,3.3,75.6,16.1,0.00253293406
DL,DCA,11,4,13.3,111.6,16.1,0.00253293406
DL,SAV,8,6,15.6,147.6,16.1,0.00253293406
DL,BOS,7,6,12.2,165.6,16.1,0.00253293406
DL,BNA,8,6,17.8,129.6,16.1,0.00253293406
WN,MCO,7,3,11.1,0.0,16.1,0.002384997386
DL,CHS,19,5,18.9,277.2,16.1,0.00253293406
OO,Other,9,1,6.7,241.2,16.0,0.003757959073
F9,LGA,12,2,6.1,183.6,16.0,0.002440836251
DL,DAB,16,2,16.7,183.6,16.1,0.00253293406
DL,FLL,11,1,7.8,259.2,14.5,0.00253293406
DL,CLT,9,1,3.3,75.6,16.0,0.00253293406
DL,PBI,16,3,20.6,183.6,16.1,0.00253293406
DL,RSW,8,1,6.7,241.2,16.1,0.00253293406
DL,DAL,10,7,2.8,147.6,16.1,0.00253293406
DL,SAN,8,4,13.3,93.6,16.1,0.00253293406
WN,MEM,15,6,19.4,165.6,16.0,0.002384997386
DL,BNA,20,4,13.3,295.2,16.1,0.00253293406
DL,SAV,12,6,17.2,75.6,16.0,0.00253293406
DL,MEM,22,6,18.9,241.2,16.1,0.00253293406
NK,ORD,7,6,8.3,111.6,16.1,0.001815614282
NK,LAX,9,2,9.4,75.6,16.0,0.001815614282
DL,LEX,13,1,7.8,295.2,16.1,0.00253293406
DL,Other,9,7,10.0,0.0,16.0,0.00253293406
DL,Other,21,2,24.0,129.6,16.0,0.00253293406
DL,DTW,14,4,16.1,147.6,16.1,0.00253293406
DL,TPA,8,7,10.0,0.0,16.1,0.00253293406
DL,ECP,23,4,21.7,75.6,16.1,0.00253293406
DL,BWI,20,1,20.6,147.6,16.1,0.00253293406
DL,LAX,14,7,18.3,129.6,14.5,0.00253293406
F9,MDW,22,5,18.9,165.6,16.1,0.002440836251
WN,MSY,20,4,21.7,165.6,16.1,0.002384997386
DL,MCI,8,4,12.2,54.0,16.1,0.00253293406
DL,PHX,17,2,22.0,93.6,16.1,0.00253293406
DL,SDF,12,1,4.4,75.6,16.0,0.00253293406
DL,Other,10,2,8.0,129.6,16.1,0.00253293406
DL,MKE,15,2,17.8,129.6,16.0,0.00253293406
DL,PNS,8,1,6.7,241.2,16.1,0.00253293406
OO,Other,10,6,7.2,93.6,16.1,0.003757959073
NK,IAH,8,1,8.9,165.6,6.4,0.001815614282
DL,OMA,12,1,4.4,75.6,16.0,0.00253293406
UA,EWR,10,1,3.3,93.6,16.1,0.002462907126
DL,CLE,8,7,13.3,0.0,16.1,0.00253293406
DL,JAN,13,7,15.0,111.6,16.1,0.00253293406
DL,GSP,13,4,13.9,129.6,16.1,0.00253293406
DL,RSW,17,7,10.0,54.0,16.1,0.00253293406
OO,Other,21,6,22.2,259.2,16.0,0.003757959073
WN,SRQ,18,3,13.9,277.2,16.0,0.002384997386
DL,HSV,16,4,20.6,205.2,14.5,0.00253293406
DL,MSY,13,1,7.8,295.2,16.1,0.00253293406
DL,Other,15,6,19.4,165.6,16.0,0.00253293406
WN,DCA,7,4,12.8,75.6,16.1,0.002384997386
DL,MCI,15,6,19.4,165.6,16.0,0.00253293406
DL,DCA,20,4,22.8,93.6,16.1,0.00253293406
F9,TPA,18,2,22.8,241.2,16.0,0.002440836251
DL,SAT,11,7,8.3,0.0,16.1,0.00253293406
DL,Other,10,5,3.9,111.6,16.1,0.00253293406
DL,MCO,18,7,22.8,334.8,16.0,0.00253293406
OO,Other,13,2,13.9,111.6,16.1,0.003757959073
DL,IND,19,1,11.1,183.6,16.1,0.00253293406
DL,LGA,16,2,16.7,183.6,16.1,0.00253293406
DL,DCA,20,4,10.0,350.0,16.1,0.00253293406
WN,TPA,20,4,13.3,295.2,16.1,0.002384997386
DL,DEN,21,3,11.7,334.8,16.0,0.00253293406
UA,ORD,19,3,25.0,241.2,16.1,0.002462907126
DL,Other,21,7,21.7,183.6,16.0,0.00253293406
DL,AUS,15,7,17.2,129.6,16.0,0.00253293406
DL,Other,19,2,25.0,277.2,16.1,0.00253293406
OO,Other,19,1,16.1,350.0,16.1,0.003757959073
DL,CLT,19,1,11.1,183.6,16.1,0.00253293406
DL,FLL,8,2,6.1,165.6,16.1,0.00253293406
F9,ORD,15,1,9.4,75.6,16.0,0.002440836251
NK,BOS,14,1,20.0,129.6,4.8,0.001815614282
DL,SAT,15,4,6.7,277.2,16.0,0.00253293406
DL,Other,9,5,14.4,75.6,16.0,0.00253293406
DL,BNA,14,4,16.1,147.6,16.1,0.00253293406
DL,Other,21,3,23.3,316.8,16.0,0.00253293406
DL,BOS,17,1,8.9,223.2,14.5,0.00253293406
DL,OKC,22,2,21.1,350.0,16.1,0.00253293406
DL,Other,15,1,16.7,129.6,12.0,0.00253293406
DL,MSY,8,7,10.0,0.0,16.1,0.00253293406
DL,PIT,22,5,18.9,165.6,16.1,0.00253293406
NK,BOS,6,1,4.4,75.6,16.0,0.001815614282
DL,LAX,19,7,9.4,183.6,9.7,0.00253293406
DL,Other,20,6,22.2,334.8,16.1,0.00253293406
UA,EWR,7,4,12.8,93.6,14.5,0.002462907126
DL,CMH,7,3,13.9,93.6,16.1,0.00253293406
DL,SLC,8,3,12.2,75.6,16.1,0.00253293406
DL,PHX,16,1,8.3,165.6,12.9,0.00253293406
DL,CMH,7,4,12.8,75.6,16.1,0.00253293406
DL,ORF,13,5,6.1,183.6,16.1,0.00253293406
DL,MIA,11,7,15.6,93.6,11.3,0.00253293406
DL,Other,15,4,6.7,277.2,16.0,0.00253293406
DL,DAB,17,7,21.1,129.6,12.9,0.00253293406
DL,DTW,20,4,13.3,295.2,16.1,0.00253293406
DL,CLE,14,2,14.4,111.6,16.1,0.00253293406
DL,SFO,8,1,8.9,165.6,6.4,0.00253293406
DL,MDW,21,6,23.3,241.2,16.0,0.00253293406
DL,RDU,19,1,17.8,93.6,16.1,0.00253293406
DL,Other,8,2,6.7,93.6,16.1,0.00253293406
DL,DAB,17,1,17.2,241.2,3.2,0.00253293406
DL,DTW,12,7,11.7,165.6,16.0,0.00253293406
DL,BHM,17,6,22.8,277.2,16.1,0.00253293406
DL,TPA,16,1,15.0,334.8,12.9,0.00253293406
DL,CAE,13,4,14.4,93.6,16.1,0.00253293406
DL,TYS,22,3,9.4,316.8,14.5,0.00253293406
F9,DTW,14,7,17.2,129.6,16.1,0.002440836251
DL,TPA,16,1,13.3,165.6,16.1,0.00253293406
DL,SLC,8,4,13.3,93.6,16.1,0.00253293406
DL,MSY,22,6,22.2,165.6,16.1,0.00253293406
DL,SLC,10,4,11.1,111.6,16.1,0.00253293406
DL,GSO,18,2,22.8,241.2,16.0,0.00253293406
DL,LEX,20,4,13.3,295.2,16.1,0.00253293406
OO,CHA,22,2,22.8,129.6,16.1,0.003757959073
DL,JAX,18,2,22.8,241.2,16.0,0.00253293406
DL,CLT,19,5,26.7,111.6,16.1,0.00253293406
WN,JAX,10,5,3.9,111.6,16.1,0.002384997386
DL,Other,19,3,23.9,165.6,16.1,0.00253293406
UA,ORD,11,3,11.1,111.6,16.1,0.002462907126
OH,CLT,18,2,17.2,223.2,16.0,0.003093580819
DL,SLC,8,2,9.4,75.6,16.1,0.00253293406
OO,Other,19,3,23.9,165.6,16.1,0.003757959073
DL,SRQ,22,7,23.9,205.2,16.1,0.00253293406
F9,LAS,5,3,16.7,350.0,8.0,0.002440836251
DL,SAT,20,5,23.3,223.2,16.1,0.00253293406
DL,MIA,18,5,15.0,93.6,16.0,0.00253293406
DL,Other,9,5,13.3,54.0,12.0,0.00253293406
DL,EWR,12,5,13.3,0.0,16.0,0.00253293406
DL,GSO,10,1,6.1,223.2,16.1,0.00253293406
UA,ORD,19,4,12.8,295.2,16.1,0.002462907126
WN,FLL,20,5,26.7,111.6,16.1,0.002384997386
DL,MEM,22,3,21.7,277.2,16.1,0.00253293406
DL,CVG,8,4,17.8,241.2,16.1,0.00253293406
DL,DEN,18,2,22.8,241.2,16.0,0.00253293406
DL,IAD,14,1,16.7,129.6,12.9,0.00253293406
DL,CAE,13,1,15.0,183.6,11.3,0.00253293406
DL,Other,13,5,6.1,183.6,16.1,0.00253293406
DL,DCA,19,4,21.7,147.6,16.1,0.00253293406
DL,BDL,11,4,13.3,111.6,16.1,0.00253293406
UA,EWR,19,5,18.9,277.2,16.1,0.002462907126
DL,DEN,13,1,7.8,75.6,16.1,0.00253293406
WN,TPA,17,1,8.9,223.2,14.5,0.002384997386
DL,PNS,21,7,21.7,183.6,16.0,0.00253293406
DL,SDF,12,2,5.6,93.6,16.0,0.00253293406
DL,PHX,11,1,13.9,129.6,12.9,0.00253293406
DL,GSP,10,2,8.3,75.6,16.1,0.00253293406
NK,FLL,10,4,13.3,75.6,16.1,0.001815614282
DL,BOS,15,7,19.4,223.2,16.0,0.00253293406
DL,HSV,22,6,24.4,205.2,16.1,0.00253293406
YX,PHL,11,5,11.7,54.0,16.1,0.002220371912
DL,LEX,8,1,3.3,75.6,16.1,0.00253293406
WN,PHX,18,5,23.3,147.6,16.0,0.002384997386
DL,DCA,19,4,10.6,259.2,16.1,0.00253293406
DL,MKE,22,1,15.6,223.2,16.1,0.00253293406
WN,HOU,6,2,7.2,93.6,16.0,0.002384997386
DL,OKC,19,4,12.8,295.2,16.1,0.00253293406
DL,TYS,22,7,23.9,205.2,16.1,0.00253293406
DL,BOS,12,4,13.3,129.6,16.0,0.00253293406
DL,Other,19,4,21.7,147.6,16.1,0.00253293406
DL,SAT,20,5,26.7,111.6,16.1,0.00253293406
DL,STL,17,3,13.9,277.2,16.1,0.00253293406
OO,Other,21,7,21.7,183.6,16.0,0.003757959073
